id,name,price,value,type,color,brand
75,tommy_jacket_75,416,501,jacket,red,tommy
76,newbalance_hoodie_76,375,402,hoodie,gray,newbalance
77,nike_pants_77,227,332,pants,gray,nike
78,hm_shorts_78,287,451,shorts,yellow,hm
79,nike_pants_79,318,483,pants,yellow,nike
80,hm_shorts_80,54,102,shorts,yellow,hm
81,zara_hoodie_81,581,614,hoodie,white,zara
82,nike_hoodie_82,310,410,hoodie,red,nike
83,zara_tshirt_83,312,377,tshirt,white,zara
84,adidas_shoes_84,391,561,shoes,yellow,adidas
85,tommy_hoodie_85,370,512,hoodie,yellow,tommy
86,reebok_hoodie_86,580,728,hoodie,green,reebok
87,newbalance_shorts_87,533,569,shorts,white,newbalance
88,adidas_jacket_88,173,337,jacket,yellow,adidas
89,tommy_hoodie_89,555,607,hoodie,green,tommy
90,zara_tshirt_90,248,375,tshirt,white,zara
91,reebok_pants_91,317,424,pants,red,reebok
92,adidas_jacket_92,240,286,jacket,black,adidas
93,hm_shorts_93,46,223,shorts,white,hm
94,reebok_tshirt_94,349,473,tshirt,blue,reebok
95,zara_pants_95,236,258,pants,blue,zara
96,zara_pants_96,145,235,pants,red,zara
97,hm_pants_97,395,405,pants,gray,hm
98,newbalance_shoes_98,423,511,shoes,green,newbalance
99,reebok_shorts_99,400,540,shorts,green,reebok
100,adidas_pants_100,368,479,pants,green,adidas
101,hm_shorts_101,67,176,shorts,blue,hm
102,hm_tshirt_102,147,317,tshirt,black,hm
103,nike_shoes_103,377,524,shoes,gray,nike
104,adidas_jacket_104,321,490,jacket,black,adidas
105,adidas_hoodie_105,138,218,hoodie,yellow,adidas
106,newbalance_hoodie_106,392,426,hoodie,red,newbalance
107,puma_shorts_107,419,494,shorts,yellow,puma
108,nike_tshirt_108,313,383,tshirt,red,nike
109,zara_tshirt_109,114,194,tshirt,green,zara
110,reebok_shoes_110,344,440,shoes,white,reebok
111,hm_shoes_111,510,530,shoes,blue,hm
112,adidas_shorts_112,489,618,shorts,green,adidas
113,nike_jacket_113,291,379,jacket,green,nike
114,zara_tshirt_114,598,609,tshirt,green,zara
115,newbalance_hoodie_115,428,537,hoodie,black,newbalance
116,reebok_pants_116,438,625,pants,white,reebok
117,hm_hoodie_117,45,86,hoodie,yellow,hm
118,reebok_jacket_118,392,434,jacket,black,reebok
119,adidas_tshirt_119,326,438,tshirt,green,adidas
120,zara_shorts_120,113,298,shorts,white,zara
121,reebok_shoes_121,227,401,shoes,red,reebok
122,puma_shoes_122,597,715,shoes,gray,puma
123,hm_tshirt_123,520,634,tshirt,yellow,hm
124,nike_hoodie_124,445,606,hoodie,blue,nike
125,newbalance_pants_125,130,317,pants,black,newbalance
126,newbalance_shorts_126,194,303,shorts,yellow,newbalance
127,tommy_shorts_127,456,483,shorts,red,tommy
128,nike_shorts_128,579,769,shorts,red,nike
129,nike_shorts_129,429,457,shorts,yellow,nike
130,reebok_shoes_130,133,271,shoes,yellow,reebok
131,nike_pants_131,405,504,pants,yellow,nike
132,nike_jacket_132,495,505,jacket,yellow,nike
133,reebok_hoodie_133,493,544,hoodie,yellow,reebok
134,zara_hoodie_134,455,492,hoodie,red,zara
135,nike_hoodie_135,591,765,hoodie,green,nike
136,tommy_tshirt_136,225,312,tshirt,red,tommy
137,newbalance_shoes_137,362,390,shoes,blue,newbalance
138,zara_shoes_138,41,80,shoes,black,zara
139,puma_pants_139,516,529,pants,black,puma
140,zara_jacket_140,224,236,jacket,red,zara
141,adidas_tshirt_141,231,286,tshirt,gray,adidas
142,adidas_jacket_142,537,647,jacket,blue,adidas
143,zara_shoes_143,190,200,shoes,black,zara
144,reebok_shorts_144,108,242,shorts,gray,reebok
145,newbalance_shorts_145,35,191,shorts,yellow,newbalance
146,tommy_shoes_146,127,312,shoes,blue,tommy
147,reebok_jacket_147,581,751,jacket,green,reebok
148,tommy_tshirt_148,499,657,tshirt,gray,tommy
149,adidas_tshirt_149,527,575,tshirt,white,adidas
150,nike_shorts_150,216,373,shorts,red,nike
151,tommy_shorts_151,105,120,shorts,white,tommy
152,reebok_shorts_152,546,643,shorts,yellow,reebok
153,newbalance_jacket_153,350,378,jacket,black,newbalance
154,puma_shoes_154,568,668,shoes,red,puma
155,zara_tshirt_155,256,342,tshirt,black,zara
156,tommy_pants_156,111,253,pants,black,tommy
157,puma_pants_157,230,288,pants,green,puma
158,adidas_shoes_158,312,471,shoes,black,adidas
159,newbalance_hoodie_159,274,315,hoodie,white,newbalance
160,newbalance_jacket_160,363,413,jacket,green,newbalance
161,zara_hoodie_161,365,438,hoodie,blue,zara
162,hm_shoes_162,307,496,shoes,red,hm
163,tommy_shoes_163,103,138,shoes,green,tommy
164,hm_pants_164,400,519,pants,yellow,hm
165,reebok_shorts_165,398,434,shorts,green,reebok
166,tommy_shorts_166,588,782,shorts,blue,tommy
167,adidas_shoes_167,527,658,shoes,blue,adidas
168,zara_pants_168,85,108,pants,green,zara
169,zara_shoes_169,120,224,shoes,green,zara
170,reebok_hoodie_170,219,274,hoodie,black,reebok
171,nike_jacket_171,394,568,jacket,blue,nike
172,nike_pants_172,273,459,pants,gray,nike
173,nike_hoodie_173,162,207,hoodie,white,nike
174,hm_hoodie_174,256,393,hoodie,black,hm
175,nike_shorts_175,450,481,shorts,white,nike
176,zara_shorts_176,263,359,shorts,green,zara
177,newbalance_tshirt_177,296,430,tshirt,red,newbalance
178,adidas_shorts_178,587,756,shorts,blue,adidas
179,puma_tshirt_179,107,224,tshirt,blue,puma
180,zara_pants_180,399,472,pants,yellow,zara
181,puma_shorts_181,403,505,shorts,white,puma
182,zara_jacket_182,275,335,jacket,gray,zara
183,reebok_shorts_183,470,531,shorts,yellow,reebok
184,zara_hoodie_184,286,311,hoodie,green,zara
185,nike_tshirt_185,73,158,tshirt,red,nike
186,zara_shorts_186,301,318,shorts,gray,zara
187,reebok_hoodie_187,267,410,hoodie,green,reebok
188,adidas_hoodie_188,339,538,hoodie,blue,adidas
189,nike_pants_189,40,181,pants,blue,nike
190,zara_shoes_190,123,285,shoes,red,zara
191,adidas_shoes_191,524,664,shoes,gray,adidas
192,hm_shorts_192,334,494,shorts,red,hm
193,reebok_shorts_193,432,605,shorts,blue,reebok
194,puma_jacket_194,310,439,jacket,red,puma
195,reebok_jacket_195,559,674,jacket,gray,reebok
196,puma_jacket_196,485,548,jacket,black,puma
197,reebok_hoodie_197,462,652,hoodie,yellow,reebok
198,tommy_shoes_198,501,621,shoes,yellow,tommy
199,puma_hoodie_199,38,92,hoodie,blue,puma
200,tommy_pants_200,123,141,pants,black,tommy
201,tommy_tshirt_201,326,465,tshirt,green,tommy
202,tommy_pants_202,534,603,pants,white,tommy
203,zara_tshirt_203,273,399,tshirt,black,zara
204,puma_tshirt_204,414,579,tshirt,white,puma
205,hm_hoodie_205,120,278,hoodie,red,hm
206,zara_tshirt_206,170,349,tshirt,red,zara
207,zara_pants_207,368,408,pants,black,zara
208,reebok_hoodie_208,547,580,hoodie,red,reebok
209,hm_shorts_209,590,613,shorts,gray,hm
210,puma_shoes_210,355,525,shoes,yellow,puma
211,adidas_tshirt_211,413,437,tshirt,white,adidas
212,newbalance_pants_212,505,681,pants,red,newbalance
213,adidas_tshirt_213,116,135,tshirt,black,adidas
214,tommy_hoodie_214,287,360,hoodie,blue,tommy
215,puma_tshirt_215,348,461,tshirt,blue,puma
216,puma_hoodie_216,292,462,hoodie,black,puma
217,adidas_shorts_217,105,287,shorts,black,adidas
218,zara_shorts_218,476,662,shorts,black,zara
219,newbalance_shoes_219,546,680,shoes,yellow,newbalance
220,puma_jacket_220,425,556,jacket,yellow,puma
221,reebok_hoodie_221,466,512,hoodie,gray,reebok
222,newbalance_shorts_222,195,252,shorts,yellow,newbalance
223,adidas_jacket_223,339,358,jacket,green,adidas
224,tommy_shoes_224,536,636,shoes,white,tommy
225,tommy_jacket_225,164,343,jacket,red,tommy
226,hm_pants_226,559,684,pants,white,hm
227,nike_pants_227,443,643,pants,red,nike
228,adidas_shoes_228,590,688,shoes,white,adidas
229,newbalance_pants_229,296,407,pants,yellow,newbalance
230,hm_shorts_230,337,357,shorts,yellow,hm
231,adidas_tshirt_231,451,586,tshirt,green,adidas
232,reebok_tshirt_232,254,361,tshirt,red,reebok
233,newbalance_shorts_233,339,473,shorts,white,newbalance
234,tommy_jacket_234,453,588,jacket,blue,tommy
235,nike_jacket_235,197,260,jacket,green,nike
236,reebok_tshirt_236,302,339,tshirt,white,reebok
237,zara_shorts_237,562,635,shorts,green,zara
238,hm_pants_238,314,495,pants,yellow,hm
239,newbalance_jacket_239,416,543,jacket,white,newbalance
240,puma_hoodie_240,60,217,hoodie,black,puma
241,hm_shorts_241,396,549,shorts,black,hm
242,newbalance_hoodie_242,357,416,hoodie,gray,newbalance
243,hm_hoodie_243,495,653,hoodie,blue,hm
244,newbalance_shoes_244,402,427,shoes,red,newbalance
245,reebok_shorts_245,426,590,shorts,gray,reebok
246,zara_jacket_246,59,105,jacket,blue,zara
247,reebok_pants_247,258,431,pants,green,reebok
248,newbalance_pants_248,267,373,pants,gray,newbalance
249,puma_tshirt_249,99,249,tshirt,blue,puma
250,nike_pants_250,388,560,pants,black,nike
251,newbalance_shorts_251,64,188,shorts,blue,newbalance
252,newbalance_pants_252,480,600,pants,yellow,newbalance
253,hm_jacket_253,574,696,jacket,gray,hm
254,reebok_jacket_254,30,203,jacket,black,reebok
255,reebok_jacket_255,583,756,jacket,green,reebok
256,hm_pants_256,391,577,pants,red,hm
257,zara_shorts_257,376,428,shorts,blue,zara
258,adidas_pants_258,594,727,pants,yellow,adidas
259,reebok_shorts_259,535,683,shorts,black,reebok
260,reebok_pants_260,439,625,pants,yellow,reebok
261,tommy_tshirt_261,205,373,tshirt,red,tommy
262,zara_tshirt_262,145,300,tshirt,blue,zara
263,newbalance_shorts_263,169,366,shorts,white,newbalance
264,reebok_pants_264,208,295,pants,gray,reebok
265,adidas_tshirt_265,237,371,tshirt,black,adidas
266,reebok_hoodie_266,488,614,hoodie,green,reebok
267,newbalance_hoodie_267,268,391,hoodie,gray,newbalance
268,nike_shoes_268,287,329,shoes,white,nike
269,reebok_jacket_269,48,90,jacket,red,reebok
270,hm_pants_270,84,211,pants,gray,hm
271,tommy_pants_271,447,634,pants,black,tommy
272,zara_tshirt_272,70,94,tshirt,red,zara
273,zara_shorts_273,539,712,shorts,black,zara
274,puma_jacket_274,448,626,jacket,red,puma
275,hm_jacket_275,400,411,jacket,red,hm
276,puma_shoes_276,555,648,shoes,red,puma
277,puma_shorts_277,58,240,shorts,red,puma
278,tommy_shorts_278,268,283,shorts,red,tommy
279,hm_shoes_279,573,711,shoes,green,hm
280,zara_pants_280,253,421,pants,black,zara
281,newbalance_shorts_281,87,191,shorts,blue,newbalance
282,newbalance_jacket_282,191,346,jacket,white,newbalance
283,reebok_tshirt_283,152,319,tshirt,white,reebok
284,newbalance_hoodie_284,322,353,hoodie,gray,newbalance
285,hm_shoes_285,522,532,shoes,green,hm
286,nike_shoes_286,113,156,shoes,yellow,nike
287,newbalance_shorts_287,125,180,shorts,green,newbalance
288,hm_hoodie_288,186,265,hoodie,red,hm
289,newbalance_hoodie_289,138,223,hoodie,gray,newbalance
290,nike_hoodie_290,96,137,hoodie,blue,nike
291,newbalance_pants_291,541,582,pants,white,newbalance
292,nike_pants_292,358,534,pants,white,nike
293,adidas_shoes_293,277,374,shoes,black,adidas
294,newbalance_shorts_294,285,436,shorts,gray,newbalance
295,zara_tshirt_295,131,165,tshirt,gray,zara
296,adidas_pants_296,179,233,pants,blue,adidas
297,puma_pants_297,292,307,pants,green,puma
298,reebok_pants_298,513,648,pants,green,reebok
299,tommy_shorts_299,71,129,shorts,green,tommy
300,hm_tshirt_300,406,454,tshirt,blue,hm
301,adidas_shoes_301,260,306,shoes,gray,adidas
302,zara_pants_302,590,776,pants,yellow,zara
303,nike_shorts_303,486,655,shorts,green,nike
304,hm_shoes_304,162,219,shoes,black,hm
305,adidas_hoodie_305,149,204,hoodie,yellow,adidas
306,hm_pants_306,519,674,pants,black,hm
307,zara_hoodie_307,584,610,hoodie,yellow,zara
308,tommy_hoodie_308,172,242,hoodie,yellow,tommy
309,nike_hoodie_309,39,68,hoodie,black,nike
310,reebok_hoodie_310,73,216,hoodie,white,reebok
311,newbalance_hoodie_311,145,199,hoodie,green,newbalance
312,zara_jacket_312,587,664,jacket,white,zara
313,newbalance_hoodie_313,514,590,hoodie,white,newbalance
314,tommy_shoes_314,493,611,shoes,red,tommy
315,adidas_shorts_315,509,684,shorts,black,adidas
316,reebok_pants_316,558,680,pants,white,reebok
317,zara_jacket_317,36,106,jacket,blue,zara
318,reebok_shoes_318,469,534,shoes,yellow,reebok
319,zara_hoodie_319,580,699,hoodie,black,zara
320,reebok_shorts_320,210,336,shorts,white,reebok
321,tommy_shorts_321,210,407,shorts,yellow,tommy
322,zara_pants_322,270,368,pants,white,zara
323,newbalance_shorts_323,87,126,shorts,blue,newbalance
324,tommy_pants_324,222,355,pants,white,tommy
325,hm_hoodie_325,489,558,hoodie,green,hm
326,adidas_hoodie_326,262,359,hoodie,red,adidas
327,puma_shoes_327,102,169,shoes,red,puma
328,puma_shoes_328,410,556,shoes,blue,puma
329,tommy_pants_329,33,150,pants,green,tommy
330,tommy_shoes_330,285,450,shoes,white,tommy
331,hm_hoodie_331,511,574,hoodie,green,hm
332,newbalance_jacket_332,462,524,jacket,red,newbalance
333,adidas_shoes_333,490,513,shoes,gray,adidas
334,newbalance_tshirt_334,463,635,tshirt,gray,newbalance
335,adidas_hoodie_335,567,600,hoodie,black,adidas
336,nike_tshirt_336,317,357,tshirt,blue,nike
337,tommy_tshirt_337,149,300,tshirt,yellow,tommy
338,adidas_shorts_338,310,475,shorts,red,adidas
339,adidas_hoodie_339,358,394,hoodie,red,adidas
340,nike_tshirt_340,53,226,tshirt,white,nike
341,reebok_shorts_341,541,601,shorts,white,reebok
342,adidas_tshirt_342,275,437,tshirt,red,adidas
343,nike_shorts_343,58,149,shorts,gray,nike
344,tommy_shoes_344,85,222,shoes,white,tommy
345,hm_hoodie_345,115,311,hoodie,white,hm
346,tommy_jacket_346,209,224,jacket,blue,tommy
347,nike_hoodie_347,550,744,hoodie,white,nike
348,hm_pants_348,489,666,pants,green,hm
349,newbalance_pants_349,416,578,pants,red,newbalance
350,hm_jacket_350,200,319,jacket,gray,hm
351,zara_shorts_351,328,464,shorts,red,zara
352,puma_hoodie_352,160,202,hoodie,gray,puma
353,tommy_tshirt_353,500,662,tshirt,yellow,tommy
354,puma_tshirt_354,523,683,tshirt,gray,puma
355,tommy_hoodie_355,73,147,hoodie,yellow,tommy
356,zara_hoodie_356,76,87,hoodie,white,zara
357,tommy_shorts_357,372,542,shorts,red,tommy
358,zara_pants_358,583,718,pants,blue,zara
359,tommy_shoes_359,173,276,shoes,gray,tommy
360,zara_hoodie_360,531,616,hoodie,black,zara
361,adidas_pants_361,358,463,pants,gray,adidas
362,tommy_pants_362,173,302,pants,blue,tommy
363,adidas_shorts_363,453,558,shorts,white,adidas
364,hm_shoes_364,502,592,shoes,black,hm
365,nike_shorts_365,446,525,shorts,white,nike
366,adidas_hoodie_366,31,82,hoodie,white,adidas
367,hm_shoes_367,544,705,shoes,white,hm
368,newbalance_pants_368,558,572,pants,green,newbalance
369,tommy_shorts_369,390,531,shorts,blue,tommy
370,reebok_pants_370,118,285,pants,black,reebok
371,puma_hoodie_371,418,517,hoodie,yellow,puma
372,reebok_shoes_372,307,446,shoes,black,reebok
373,adidas_hoodie_373,329,376,hoodie,yellow,adidas
374,tommy_tshirt_374,321,353,tshirt,red,tommy
375,newbalance_shoes_375,594,692,shoes,blue,newbalance
376,nike_pants_376,170,360,pants,blue,nike
377,tommy_pants_377,121,149,pants,gray,tommy
378,hm_jacket_378,182,348,jacket,black,hm
379,adidas_pants_379,395,525,pants,red,adidas
380,zara_shorts_380,64,262,shorts,white,zara
381,zara_tshirt_381,592,702,tshirt,white,zara
382,newbalance_tshirt_382,407,540,tshirt,black,newbalance
383,newbalance_pants_383,476,516,pants,green,newbalance
384,nike_hoodie_384,221,304,hoodie,white,nike
385,adidas_tshirt_385,263,367,tshirt,yellow,adidas
386,nike_shoes_386,456,556,shoes,gray,nike
387,zara_pants_387,553,751,pants,blue,zara
388,nike_shoes_388,459,555,shoes,blue,nike
389,nike_tshirt_389,98,204,tshirt,yellow,nike
390,adidas_pants_390,567,596,pants,white,adidas
391,puma_pants_391,43,83,pants,white,puma
392,hm_shoes_392,381,510,shoes,yellow,hm
393,adidas_shorts_393,119,203,shorts,yellow,adidas
394,reebok_tshirt_394,183,276,tshirt,red,reebok
395,newbalance_shorts_395,118,254,shorts,red,newbalance
396,tommy_jacket_396,465,583,jacket,blue,tommy
397,hm_shoes_397,331,488,shoes,red,hm
398,hm_jacket_398,393,503,jacket,white,hm
399,hm_pants_399,395,474,pants,white,hm
400,puma_shoes_400,547,670,shoes,gray,puma
401,reebok_shoes_401,517,586,shoes,yellow,reebok
402,nike_tshirt_402,240,407,tshirt,black,nike
403,puma_hoodie_403,31,215,hoodie,white,puma
404,tommy_pants_404,315,386,pants,blue,tommy
405,adidas_jacket_405,73,171,jacket,black,adidas
406,zara_tshirt_406,81,194,tshirt,green,zara
407,tommy_tshirt_407,390,481,tshirt,blue,tommy
408,puma_jacket_408,127,158,jacket,white,puma
409,zara_shorts_409,103,139,shorts,gray,zara
410,hm_shoes_410,520,532,shoes,green,hm
411,newbalance_pants_411,205,396,pants,blue,newbalance
412,adidas_shoes_412,404,472,shoes,gray,adidas
413,zara_shorts_413,70,134,shorts,black,zara
414,hm_shorts_414,424,463,shorts,red,hm
415,adidas_shoes_415,417,488,shoes,yellow,adidas
416,reebok_tshirt_416,57,182,tshirt,white,reebok
417,reebok_jacket_417,582,708,jacket,blue,reebok
418,nike_tshirt_418,391,575,tshirt,white,nike
419,adidas_pants_419,344,538,pants,gray,adidas
420,nike_shorts_420,56,213,shorts,yellow,nike
421,reebok_hoodie_421,80,196,hoodie,yellow,reebok
422,adidas_tshirt_422,366,377,tshirt,white,adidas
423,nike_jacket_423,399,539,jacket,gray,nike
424,adidas_shorts_424,179,325,shorts,blue,adidas
425,tommy_pants_425,56,87,pants,white,tommy
426,adidas_shoes_426,395,479,shoes,gray,adidas
427,adidas_tshirt_427,94,175,tshirt,yellow,adidas
428,newbalance_tshirt_428,242,330,tshirt,blue,newbalance
429,nike_pants_429,38,178,pants,white,nike
430,reebok_pants_430,341,427,pants,green,reebok
431,newbalance_tshirt_431,395,480,tshirt,white,newbalance
432,newbalance_tshirt_432,512,534,tshirt,red,newbalance
433,adidas_shorts_433,89,211,shorts,red,adidas
434,nike_jacket_434,346,378,jacket,gray,nike
435,tommy_shoes_435,456,572,shoes,yellow,tommy
436,puma_hoodie_436,179,315,hoodie,gray,puma
437,tommy_tshirt_437,197,328,tshirt,blue,tommy
438,zara_hoodie_438,532,582,hoodie,white,zara
439,reebok_tshirt_439,394,565,tshirt,yellow,reebok
440,hm_shorts_440,437,591,shorts,red,hm
441,reebok_tshirt_441,561,724,tshirt,white,reebok
442,reebok_hoodie_442,60,159,hoodie,yellow,reebok
443,reebok_hoodie_443,59,167,hoodie,blue,reebok
444,reebok_tshirt_444,581,773,tshirt,white,reebok
445,adidas_jacket_445,216,280,jacket,red,adidas
446,reebok_pants_446,150,270,pants,blue,reebok
447,tommy_hoodie_447,250,292,hoodie,blue,tommy
448,tommy_pants_448,167,254,pants,red,tommy
449,puma_shoes_449,287,411,shoes,yellow,puma
450,tommy_jacket_450,376,518,jacket,black,tommy
451,nike_tshirt_451,149,263,tshirt,white,nike
452,puma_jacket_452,376,538,jacket,black,puma
453,puma_shoes_453,442,592,shoes,blue,puma
454,adidas_shoes_454,103,165,shoes,gray,adidas
455,nike_jacket_455,374,551,jacket,black,nike
456,zara_tshirt_456,92,266,tshirt,green,zara
457,adidas_pants_457,126,314,pants,white,adidas
458,reebok_pants_458,337,373,pants,black,reebok
459,nike_shorts_459,457,639,shorts,gray,nike
460,hm_tshirt_460,589,623,tshirt,yellow,hm
461,reebok_pants_461,533,543,pants,red,reebok
462,zara_shorts_462,42,127,shorts,white,zara
463,adidas_jacket_463,137,153,jacket,white,adidas
464,reebok_pants_464,139,171,pants,black,reebok
465,hm_hoodie_465,158,342,hoodie,blue,hm
466,nike_pants_466,417,487,pants,white,nike
467,puma_jacket_467,79,122,jacket,gray,puma
468,zara_shoes_468,425,514,shoes,red,zara
469,newbalance_shoes_469,261,433,shoes,white,newbalance
470,tommy_jacket_470,509,569,jacket,red,tommy
471,hm_jacket_471,546,578,jacket,gray,hm
472,tommy_shoes_472,346,509,shoes,white,tommy
473,newbalance_jacket_473,312,408,jacket,gray,newbalance
474,nike_jacket_474,67,248,jacket,red,nike
475,reebok_hoodie_475,47,169,hoodie,green,reebok
476,newbalance_hoodie_476,121,219,hoodie,red,newbalance
477,adidas_tshirt_477,184,270,tshirt,black,adidas
478,hm_shoes_478,451,476,shoes,red,hm
479,zara_shoes_479,281,462,shoes,black,zara
480,tommy_tshirt_480,397,513,tshirt,gray,tommy
481,hm_shorts_481,519,651,shorts,gray,hm
482,nike_hoodie_482,565,658,hoodie,white,nike
483,newbalance_jacket_483,406,478,jacket,white,newbalance
484,puma_hoodie_484,66,259,hoodie,red,puma
485,nike_shorts_485,165,361,shorts,green,nike
486,reebok_tshirt_486,145,243,tshirt,gray,reebok
487,reebok_jacket_487,581,649,jacket,black,reebok
488,hm_pants_488,174,224,pants,black,hm
489,zara_pants_489,520,669,pants,blue,zara
490,reebok_tshirt_490,39,226,tshirt,gray,reebok
491,zara_jacket_491,377,420,jacket,white,zara
492,hm_shorts_492,383,583,shorts,green,hm
493,hm_pants_493,395,413,pants,red,hm
494,tommy_shorts_494,502,582,shorts,red,tommy
495,nike_pants_495,361,472,pants,red,nike
496,puma_shoes_496,106,122,shoes,green,puma
497,newbalance_tshirt_497,53,151,tshirt,blue,newbalance
498,hm_pants_498,110,127,pants,black,hm
499,adidas_hoodie_499,89,278,hoodie,green,adidas
500,tommy_hoodie_500,269,468,hoodie,red,tommy
501,newbalance_hoodie_501,366,540,hoodie,red,newbalance
502,tommy_tshirt_502,339,385,tshirt,white,tommy
503,adidas_shorts_503,138,226,shorts,yellow,adidas
504,newbalance_shorts_504,310,345,shorts,black,newbalance
505,nike_shorts_505,87,134,shorts,green,nike
506,nike_pants_506,225,394,pants,yellow,nike
507,nike_jacket_507,122,210,jacket,black,nike
508,newbalance_pants_508,112,282,pants,yellow,newbalance
509,hm_pants_509,590,620,pants,gray,hm
510,reebok_shoes_510,365,466,shoes,yellow,reebok
511,puma_shoes_511,433,518,shoes,green,puma
512,hm_hoodie_512,248,435,hoodie,white,hm
513,adidas_tshirt_513,362,513,tshirt,green,adidas
514,adidas_jacket_514,391,551,jacket,white,adidas
515,adidas_shoes_515,399,413,shoes,gray,adidas
516,zara_shorts_516,338,393,shorts,yellow,zara
517,nike_hoodie_517,79,212,hoodie,black,nike
518,puma_hoodie_518,209,361,hoodie,black,puma
519,nike_jacket_519,509,586,jacket,black,nike
520,nike_pants_520,48,103,pants,white,nike
521,reebok_jacket_521,37,178,jacket,white,reebok
522,adidas_hoodie_522,86,128,hoodie,blue,adidas
523,newbalance_hoodie_523,178,306,hoodie,gray,newbalance
524,nike_shoes_524,383,432,shoes,yellow,nike
525,tommy_jacket_525,181,271,jacket,yellow,tommy
526,adidas_shorts_526,330,377,shorts,yellow,adidas
527,puma_pants_527,510,660,pants,yellow,puma
528,hm_hoodie_528,435,532,hoodie,blue,hm
529,adidas_pants_529,47,190,pants,gray,adidas
530,newbalance_shorts_530,481,616,shorts,blue,newbalance
531,puma_pants_531,197,393,pants,red,puma
532,hm_tshirt_532,317,458,tshirt,yellow,hm
533,hm_hoodie_533,232,379,hoodie,green,hm
534,hm_jacket_534,125,228,jacket,black,hm
